Altium Designer Pick and Place Locations
C:\Users\jerem\AppData\Local\TempReleases\Snapshot\5\Assembly\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       08/11/25
Time:       17:46
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Center-X(mil) Center-Y(mil) Comment                   Description                                                                                                         Designator Footprint                    Layer    Rotation 
5049.488      2721.024      TSW-102-14-G-S            "CONN HEADER VERT 2POS 2.54MM"                                                                                      J9         FP-TSW-102-14-G-S-MFG        TopLayer 90       
4782.602      2495.000      RMCF0603ZG0R00            "0? ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R15        FP-RMCF0603-IPC_B            TopLayer 0        
3925.000      1665.000      GRM21BR60J107ME15K        "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C70        FP-GRM21B-0_2-e0_2_0_7-IPC_B TopLayer 180      
3470.000      1742.398      RMCF0603ZG0R00            "0? ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R37        FP-RMCF0603-IPC_B            TopLayer 90       
3545.000      1742.398      RMCF0603ZG0R00            "0? ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R45        FP-RMCF0603-IPC_B            TopLayer 270      
5195.000      3335.000      RMCF0603ZG0R00            "0? ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R14        FP-RMCF0603-IPC_B            TopLayer 270      
4710.000      1630.000      RMCF0603ZG0R00            "0? ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R60        FP-RMCF0603-IPC_B            TopLayer 180      
3925.000      1750.000      GRM21BR60J107ME15K        "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C69        FP-GRM21B-0_2-e0_2_0_7-IPC_B TopLayer 180      
3927.489      1850.000      GRM21BR60J107ME15K        "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C68        FP-GRM21B-0_2-e0_2_0_7-IPC_B TopLayer 180      
3930.000      1940.000      GRM21BR60J107ME15K        "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C67        FP-GRM21B-0_2-e0_2_0_7-IPC_B TopLayer 180      
3930.000      2030.000      GRM21BR60J107ME15K        "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C66        FP-GRM21B-0_2-e0_2_0_7-IPC_B TopLayer 180      
4065.000      1665.000      GRM21BR60J107ME15K        "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C65        FP-GRM21B-0_2-e0_2_0_7-IPC_B TopLayer 0        
4065.000      1755.000      GRM21BR60J107ME15K        "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C64        FP-GRM21B-0_2-e0_2_0_7-IPC_B TopLayer 0        
4065.000      1845.000      GRM21BR60J107ME15K        "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C63        FP-GRM21B-0_2-e0_2_0_7-IPC_B TopLayer 0        
4070.000      2030.000      GRM21BR60J107ME15K        "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C62        FP-GRM21B-0_2-e0_2_0_7-IPC_B TopLayer 0        
4067.489      1935.000      GRM21BR60J107ME15K        "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V"                          C61        FP-GRM21B-0_2-e0_2_0_7-IPC_B TopLayer 0        
5547.398      2885.000      RMCF0603ZG0R00            "0? ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R59        FP-RMCF0603-IPC_B            TopLayer 180      
5525.000      3260.000      RMCF0603ZG0R00            "0? ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R58        FP-RMCF0603-IPC_B            TopLayer 0        
