Altium Designer Pick and Place Locations
C:\Users\jdado\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       05/03/26
Time:       17:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Center-X(mil) Center-Y(mil) Comment                  Description                                                                                                         Designator Footprint                     Layer    Rotation 
4395.000      2395.000      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R63        FP-RMCF0603-IPC_B             TopLayer 90       
4625.000      2592.398      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R62        FP-RMCF0603-IPC_B             TopLayer 90       
4510.000      2340.000      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R56        FP-RMCF0603-IPC_B             TopLayer 180      
4307.500      2090.000      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R54        FP-RMCF0603-IPC_B             TopLayer 90       
4375.000      2090.000      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R53        FP-RMCF0603-IPC_B             TopLayer 90       
5140.000      1990.000      RMCF0603ZG0R00           "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R51        FP-RMCF0603-IPC_B             TopLayer 90       
5335.000      2182.398      DNF                      "0O ±0 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                       R46        FP-RMCF0603-IPC_B             TopLayer 90       
3405.000      3085.000      MSPM0C1104SDGS20R        "24MHz ArmÂ® CortexÂ®-M0+ MCU with 16KB flash, 1KB SRAM, 12-bit ADC 20-VSSOP -40 to 125"                            U1         DGS0020A_TEX                  TopLayer 0        
4630.000      2710.000      CRGCQ0603J10K            "CRGCQ 0603 10K 5%"                                                                                                 R44        FP-CRGCQ0603-IPC_C            TopLayer 90       
4570.000      2594.685      CRGCQ0603J10K            "CRGCQ 0603 10K 5%"                                                                                                 R43        FP-CRGCQ0603-IPC_C            TopLayer 90       
4470.000      2390.000      CRGCQ0603J10K            "CRGCQ 0603 10K 5%"                                                                                                 R1         FP-CRGCQ0603-IPC_C            TopLayer 180      
4455.000      2460.000      CRGCQ0603J10K            "CRGCQ 0603 10K 5%"                                                                                                 R61        FP-CRGCQ0603-IPC_C            TopLayer 90       
5165.000      2080.000      VJ0603Y152JXACW1BC       ""                                                                                                                  C23        CAPC1608X95X40NL15T15         TopLayer 180      
5065.000      2010.000      CRCW06031M00JNEA         "RES Thick Film, 1MO, 5%, 0.1W, 200ppm/°C, 0603"                                                                    R42        FP-CRCW0603-e3-IPC_B          TopLayer 90       
