Time (s),Voltage (V)
0.000000000e+00,0.000000000e+00
1.000000000e-04,0.000000000e+00
2.000000000e-04,0.000000000e+00
3.000000000e-04,0.000000000e+00
4.000000000e-04,0.000000000e+00
5.000000000e-04,0.000000000e+00
6.000000000e-04,0.000000000e+00
7.000000000e-04,0.000000000e+00
8.000000000e-04,0.000000000e+00
9.000000000e-04,0.000000000e+00
1.000000000e-03,2.000000000e+00
1.100000000e-03,2.000000000e+00
1.200000000e-03,2.000000000e+00
1.300000000e-03,2.000000000e+00
1.400000000e-03,2.000000000e+00
1.500000000e-03,0.000000000e+00
1.600000000e-03,0.000000000e+00
1.700000000e-03,0.000000000e+00
1.800000000e-03,0.000000000e+00
1.900000000e-03,0.000000000e+00
2.000000000e-03,0.000000000e+00
2.100000000e-03,0.000000000e+00
2.200000000e-03,0.000000000e+00
2.300000000e-03,0.000000000e+00
2.400000000e-03,0.000000000e+00
2.500000000e-03,-3.663127775e-05
2.600000000e-03,-7.832779010e-05
2.700000000e-03,-1.546094806e-04
2.800000000e-03,-2.817168408e-04
2.900000000e-03,-4.738555142e-04
3.000000000e-03,-7.357588726e-04
3.100000000e-03,-1.054584819e-03
3.200000000e-03,-1.395352571e-03
3.300000000e-03,-1.704287353e-03
3.400000000e-03,-1.921578276e-03
3.500000000e-03,-1.999998438e-03
3.600000000e-03,-1.921574951e-03
3.700000000e-03,-1.704278008e-03
3.800000000e-03,-1.395330050e-03
3.900000000e-03,-1.054533112e-03
4.000000000e-03,-7.356441006e-04
4.100000000e-03,-4.736086978e-04
4.200000000e-03,-2.812024256e-04
4.300000000e-03,-1.535703315e-04
4.400000000e-03,-7.629323451e-05
4.500000000e-03,-3.277036951e-05
4.600000000e-03,-8.712810989e-06
4.700000000e-03,6.357207658e-06
4.800000000e-03,1.955507667e-05
4.900000000e-03,3.584393970e-05
5.000000000e-03,5.921161316e-05
5.100000000e-03,9.346981907e-05
5.200000000e-03,1.426142851e-04
5.300000000e-03,2.107937440e-04
5.400000000e-03,3.019537658e-04
5.500000000e-03,4.192225492e-04
5.600000000e-03,5.641258597e-04
5.700000000e-03,7.357588745e-04
5.800000000e-03,9.300863750e-04
5.900000000e-03,1.139565649e-03
6.000000000e-03,1.353267692e-03
6.100000000e-03,1.557601566e-03
6.200000000e-03,1.737630113e-03
6.300000000e-03,1.878826126e-03
6.400000000e-03,1.968992874e-03
6.500000000e-03,2.000000000e-03
6.600000000e-03,1.968992874e-03
6.700000000e-03,1.878826126e-03
6.800000000e-03,1.737630113e-03
6.900000000e-03,1.557601566e-03
7.000000000e-03,1.353267692e-03
7.100000000e-03,1.139565649e-03
7.200000000e-03,9.300863763e-04
7.300000000e-03,7.357588823e-04
7.400000000e-03,5.641259034e-04
7.500000000e-03,4.192227743e-04
7.600000000e-03,3.019548369e-04
7.700000000e-03,2.107984491e-04
7.800000000e-03,1.426333654e-04
7.900000000e-03,9.354124477e-05
8.000000000e-03,5.945843277e-05
8.100000000e-03,3.663127778e-05
8.200000000e-03,2.187353502e-05
8.300000000e-03,1.265943085e-05
8.400000000e-03,7.101297114e-06
8.500000000e-03,3.860908272e-06
8.600000000e-03,2.034555687e-06
8.700000000e-03,1.039149364e-06
8.800000000e-03,5.144162376e-07
8.900000000e-03,2.468196082e-07
9.000000000e-03,1.147817775e-07
9.100000000e-03,5.173620045e-08
9.200000000e-03,2.260187209e-08
9.300000000e-03,9.570234784e-09
9.400000000e-03,3.927616442e-09
9.500000000e-03,1.562297882e-09
9.600000000e-03,6.023194892e-10
9.700000000e-03,2.250703494e-10
9.800000000e-03,8.151507867e-11
9.900000000e-03,2.861448384e-11
