Sample,Voltage (mV)
0,-50.4747696
1,-50.3431931
2,-50.2825165
3,-50.2509766
4,-50.2266159
5,-50.2047119
6,-50.0717545
7,-49.6522217
8,-49.5338097
9,-49.6549034
10,-49.9073219
11,-50.0428352
12,-50.1719475
13,-50.4054184
14,-50.6141014
15,-50.7619247
16,-50.629364
17,-50.3814163
18,-50.3122635
19,-50.2670021
20,-50.2354698
21,-50.2206039
22,-50.1822548
23,-49.8885727
24,-49.532402
25,-49.5319786
26,-49.7437439
27,-49.9585724
28,-50.091423
29,-50.2702446
30,-50.482769
31,-50.6475563
32,-50.7241707
33,-50.4654961
34,-50.3001022
35,-50.2516479
36,-49.5330963
37,-49.5902214
38,-49.8324966
39,-50.0026245
40,-50.1236267
41,-50.3325348
42,-50.5515404
43,-50.7292671
44,-50.707901
45,-50.4288864
46,-50.3352165
47,-50.2914085
48,-50.2513123
49,-50.2294769
50,-50.2125816
51,-50.0304298
52,-49.5976868
53,-49.522728
54,-49.6754875
55,-49.9208221
56,-50.0613365
57,-50.224247
58,-50.4469872
59,-50.6307487
60,-50.7611618
61,-50.5824509
62,-50.3460312
63,-50.2956772
64,-50.2739334
65,-50.2484283
66,-50.2234001
67,-50.1831474
68,-49.8563919
69,-49.5118408
70,-49.5201797
71,-49.7595711
72,-49.9615669
73,-50.0811844
74,-50.2780914
75,-50.4998436
76,-50.675312
77,-50.7330666
78,-50.4692955
79,-50.3202209
80,-50.2571678
81,-50.2206268
82,-50.2040634
83,-50.1832161
84,-50.091198
85,-49.687088
86,-49.5246696
87,-49.6099815
88,-49.8650131
89,-50.019455
90,-50.1418228
91,-50.3733444
92,-50.5933571
93,-50.7530289
94,-50.6753807
95,-50.4071617
96,-50.3248901
97,-50.2707596
98,-50.2347298
99,-50.2186394
100,-50.1969109
101,-49.9634666
102,-49.5619278
103,-49.5233727
104,-49.7067795
105,-49.9473763
106,-50.0868874
107,-50.2598076
108,-50.4837532
109,-50.6618156
110,-50.7704582
111,-50.5483437
112,-50.3524475
113,-50.3098488
114,-50.2832298
115,-50.2656403
116,-50.2420578
117,-50.1883087
118,-49.8123589
119,-49.5337868
120,-49.5823784
121,-49.8356705
122,-50.0203934
123,-50.1341782
124,-50.3487129
125,-50.570919
126,-50.7375603
127,-50.7553291
