Sample,Voltage (mV)
0,-25.2315845
1,-25.6928005
2,-25.707058
3,-25.0789108
4,-24.1161633
5,-23.4597664
6,-23.1582661
7,-23.2741947
8,-23.7741642
9,-24.450676
10,-24.7736111
11,-24.6354218
12,-24.4538479
13,-24.1194477
14,-23.6359291
15,-23.1850605
16,-23.1153965
17,-23.5077515
18,-24.219532
19,-25.0174713
20,-25.3461514
21,-25.4045963
22,-25.1780338
23,-24.5991459
24,-23.8792076
25,-23.2894363
26,-22.987421
27,-22.7668266
28,-23.0671196
29,-23.8265305
30,-24.6383266
31,-25.0441132
32,-24.9869194
33,-24.6545963
34,-24.1680813
35,-23.7772713
36,-23.535532
37,-23.4377956
38,-23.8918362
39,-24.5428925
40,-25.0584621
41,-25.2503586
42,-25.0353737
43,-24.305088
44,-23.1779995
45,-22.5364208
46,-22.4587097
47,-22.8972168
48,-23.5966587
49,-24.4513683
50,-25.2294388
51,-25.6266193
52,-25.5628567
53,-24.8276081
54,-23.8898239
55,-23.2855244
56,-23.0443897
57,-23.228199
58,-23.7755718
59,-24.4486427
60,-24.6742191
61,-24.5259056
62,-24.3092213
63,-23.9520683
64,-23.459074
65,-23.0487041
66,-23.0611992
67,-23.5143681
68,-24.2735519
69,-25.0366249
70,-25.2888451
71,-25.3185921
72,-25.0261421
73,-24.4088135
74,-22.6067791
75,-22.9270973
76,-23.550663
77,-24.3730984
78,-25.2164745
79,-25.7444267
80,-25.8265858
81,-25.3029041
82,-24.332243
83,-23.62187
84,-23.254303
85,-23.3042107
86,-23.7523727
87,-24.4247055
88,-24.8405933
89,-24.7325325
90,-24.5772209
91,-24.2565002
92,-23.8036442
93,-23.3257122
94,-23.1839008
95,-23.518816
96,-24.1952152
97,-25.0128002
98,-25.4184761
99,-25.5079861
100,-25.343647
101,-24.8094139
102,-24.0925407
103,-23.4692211
104,-23.1280479
105,-22.8836269
106,-23.0740948
107,-23.7995319
108,-24.6357784
109,-25.1119232
110,-25.1113873
111,-24.8111134
112,-24.3333588
113,-23.910408
114,-23.6593075
115,-23.4973583
116,-23.8820686
117,-24.531292
118,-25.0870705
119,-25.3346634
120,-25.1848068
121,-24.5481663
122,-23.4167881
123,-22.6913948
124,-22.5322418
125,-22.9124603
126,-23.5726337
127,-24.4141998
