Sample,Voltage (mV)
0,-20.0408649
1,-21.4294033
2,-22.066534
3,-21.5300007
4,-19.8544216
5,-17.697422
6,-16.0236301
7,-15.4699545
8,-16.3570023
9,-18.4856167
10,-20.6506176
11,-22.2152061
12,-22.8203773
13,-22.0363407
14,-20.0671024
15,-17.7626381
16,-15.9174013
17,-14.8358622
18,-15.265564
19,-17.306366
20,-19.8826275
21,-21.8357697
22,-22.5907974
23,-22.0065689
24,-20.2591114
25,-18.1558876
26,-16.4210377
27,-15.4468222
28,-16.1059456
29,-18.1131554
30,-20.4228935
31,-22.1179829
32,-22.6804886
33,-21.7385921
34,-19.3104229
35,-16.8896484
36,-15.2375135
37,-14.8304758
38,-15.8227272
39,-18.0453682
40,-20.6170025
41,-22.5144062
42,-23.2145195
43,-22.241087
44,-19.9574776
45,-17.6140575
46,-15.8446522
47,-15.200882
48,-16.0646439
49,-18.1511707
50,-20.2339687
51,-21.5035381
52,-21.971323
53,-21.2350464
54,-19.4244061
55,-17.2885056
56,-15.7642813
57,-15.4334345
58,-16.5605679
59,-18.7950077
60,-20.8808002
61,-22.327961
62,-22.7232895
63,-21.7161312
64,-19.628149
65,-17.3541946
66,-15.6216431
67,-14.7139874
68,-15.4467106
69,-17.6497498
70,-20.2033482
71,-21.986187
72,-22.5252686
73,-21.7271061
74,-19.8525887
75,-17.7774353
76,-16.1343765
77,-15.3758163
78,-16.3085041
79,-18.437006
80,-20.6908703
81,-22.2285271
82,-22.5709515
83,-21.3543739
84,-18.8196144
85,-16.484621
86,-15.0116892
87,-14.8141832
88,-16.0323696
89,-22.0874748
90,-22.893261
91,-22.3421097
92,-20.510952
93,-18.2054386
94,-16.250082
95,-15.0170536
96,-15.144002
97,-17.0010395
98,-19.5750694
99,-21.6857128
100,-22.6541615
101,-22.2892513
102,-20.6882095
103,-18.5766258
104,-16.7657852
105,-15.6072054
106,-15.9907322
107,-17.851862
108,-20.1819153
109,-22.0155525
110,-22.78475
111,-22.1051102
112,-19.8352222
113,-17.3381462
114,-15.5388594
115,-14.9189596
116,-15.6750383
117,-17.7464581
118,-20.341898
119,-22.3907661
120,-23.3051472
121,-22.6238308
122,-20.4584293
123,-18.0730362
124,-16.1685257
125,-15.3079834
126,-15.9254465
127,-17.8724899
