voltages,
Sample,Voltage (mV)
0,-0.0232216492
1,-2.43445134
2,-7.70625734
3,-7.71890783
4,-6.38521624
5,-4.82489538
6,-3.64765382
7,-3.13449788
8,-3.16849232
9,-0.363790929
10,-0.00728609972
11,-0.00721904961
12,-0.0747383982
13,-1.36225486
14,-2.52519226
15,-2.33910632
16,-3.21296883
17,-4.85600662
18,-6.97796059
19,-9.44417095
20,-6.43883371
21,-0.419263631
22,-0.197104648
23,-3.5111177
24,-5.20406342
25,-1.55940413
26,-0.0212548487
27,-0.00724139949
28,-0.00726374984
29,-0.854708672
30,-5.88607311
31,-8.08663177
32,-7.14352894
33,-5.4235177
34,-3.90315914
35,-2.91712189
36,-2.22934532
37,-1.25667334
38,-0.0350224487
39,-1.44962096
40,-9.48516083
41,-10.5764666
42,-2.94526052
43,-0.0187292993
44,-0.00717434986
45,-0.0113090994
46,-0.865257859
47,-3.42234373
48,-5.80583715
49,-8.40427017
50,-9.42995644
51,-10.0066977
52,-9.28215599
53,-5.45543385
54,-0.615943611
55,-0.0558973476
56,-2.39884782
57,-6.88435841
58,-4.00257206
59,-0.158662647
60,-0.00719669973
61,-0.0071296501
62,-0.125741094
63,-1.76404083
64,-2.83480692
65,-2.86911416
66,-3.72974563
67,-5.36493874
68,-7.54019642
69,-9.77555466
70,-5.19139099
71,-0.176654384
72,-0.34774363
73,-3.99068189
74,-4.77114344
75,-1.0356319
76,-0.00806834921
77,-0.00724139949
78,-0.0073754997
79,-1.60919988
80,-7.13380718
81,-8.31585407
82,-7.00207615
83,-5.24413681
84,-3.83595252
85,-2.97000194
86,-2.5622263
87,-0.997391045
88,-0.0241156481
89,-2.31662202
90,-10.3948059
91,-9.74323559
92,-1.9336772
93,-0.0073754997
94,-0.00721904961
95,-0.0301054493
96,-1.34723568
97,-5.03525352
98,-7.40068817
99,-8.77617359
100,-9.6177187
101,-10.2472734
102,-8.98637581
103,-4.60680437
104,-0.344994605
105,-0.134435251
106,-3.18080711
107,-7.04223919
108,-3.12149024
109,-0.058422897
110,-0.00717434986
111,-0.00719669973
112,-0.434662789
113,-2.7702601
114,-2.95978808
115,-2.94964099
116,-3.95979404
117,-5.6356864
118,-7.7779789
119,-9.79625034
120,-3.93545485
121,-0.063429296
122,-0.66451019
123,-4.69515371
124,-4.32756329
125,-0.65825218
126,-0.00724139949
127,-0.00724139949
