voltages,
Sample,Voltage (mV)
0,-8.06025887
1,-8.08546925
2,-8.15374851
3,-8.1676054
4,-8.1759882
5,-8.17918301
6,-8.18150806
7,-8.17893696
8,-8.20640564
9,-8.27510929
10,-8.2567606
11,-8.20620441
12,-8.15830803
13,-8.14619446
14,-8.12337589
15,-8.08598423
16,-8.06327629
17,-8.0474968
18,-8.09689045
19,-8.13034821
20,-8.12565517
21,-8.12514114
22,-8.12431431
23,-8.12818146
24,-8.13522053
25,-8.20593643
26,-8.2496748
27,-8.22106743
28,-8.16011906
29,-8.12507439
30,-8.10844517
31,-8.07641792
32,-8.04959774
33,-8.03670216
34,-8.05174351
35,-8.1276226
36,-8.14554691
37,-8.14664173
38,-8.14420509
39,-8.14214897
40,-8.1453228
41,-8.16972923
42,-8.26145363
43,-8.26791286
44,-8.2334938
45,-8.18009949
46,-8.1627121
47,-8.14094162
48,-8.10167408
49,-8.07744598
50,-8.06182384
51,-8.10553932
52,-8.16849995
53,-8.17735004
54,-8.18204403
55,-8.18691635
56,-8.19292831
57,-8.19085026
58,-8.23409748
59,-8.29138088
60,-8.26755524
61,-8.21275234
62,-8.17305946
63,-8.16291332
64,-8.1361599
65,-8.10118198
66,-8.07880974
67,-8.06591415
68,-8.12100601
69,-8.14391518
70,-8.14138889
71,-8.14409351
72,-8.14416027
73,-8.14740181
74,-8.16255569
75,-8.24189758
76,-8.26489544
77,-8.22701168
78,-8.15701199
79,-8.12147522
80,-8.09838772
81,-8.0587616
82,-8.02928257
83,-8.01692295
84,-8.04535103
85,-8.11606693
86,-8.12500763
87,-8.12431431
88,-8.12417984
89,-8.12536526
90,-8.12844849
91,-8.16447639
92,-8.25074768
93,-8.24449062
94,-8.20691967
95,-8.15862179
96,-8.14089775
97,-8.11597824
98,-8.07543468
99,-8.04950809
100,-8.03457832
101,-8.085783
102,-8.13426018
103,-8.14190292
104,-8.14601612
105,-8.15140247
106,-8.15564823
107,-8.13504219
108,-8.12145329
109,-8.09671211
110,-8.07062912
111,-8.0579567
112,-8.06379032
113,-8.13620472
114,-8.16175079
115,-8.16018581
116,-8.16099072
117,-8.15801811
118,-8.15707874
119,-8.17008686
120,-8.25517368
121,-8.2770319
122,-8.24757481
123,-8.18709564
124,-8.16400814
125,-8.14588165
126,-8.1071043
127,-8.07990551
